model,objective,best_params,best_value
ada,mse,"{'n_estimators': 85, 'learning_rate': 0.02332498770244577, 'loss': 'exponential'}",0.7823473941068207
ridge,mse,{'alpha': 0.666738772243351},0.7680495151716812
lgbm,mse,"{'n_estimators': 186, 'max_depth': 14, 'learning_rate': 0.037507980506492504, 'num_leaves': 223, 'lambda_l1': 0.30553089435261865, 'lambda_l2': 0.7674806328883184, 'min_child_samples': 44}",0.7136462700044277
dt,mse,"{'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 9}",0.7750218866771725
rf,mse,"{'n_estimators': 199, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 87}",0.7236822995871538
